data set, time, x, y, pollution
1, 10:29:06, 929.78794, 641.261141, 17309.30
1, 10:29:07, 929.78794, 641.261141, 17469.50
1, 10:29:07, 934.68052, 641.149947, 17469.50
1, 10:29:08, 934.68052, 641.149947, 17040.40
1, 10:29:08, 939.57310, 641.038752, 17040.40
1, 10:29:09, 939.57310, 641.038752, 16344.80
1, 10:29:09, 944.68806, 641.038752, 16344.80
1, 10:29:10, 944.68806, 641.038752, 15780.40
1, 10:29:10, 949.91423, 641.149947, 15780.40
1, 10:29:11, 949.91423, 641.149947, 15565.90
1, 10:29:11, 955.14039, 641.149947, 15565.90
1, 10:29:12, 955.14039, 641.149947, 15575.00
1, 10:29:12, 960.47774, 641.038752, 15575.00
1, 10:29:13, 960.47774, 641.038752, 15517.70
1, 10:29:13, 966.03749, 641.038752, 15517.70
1, 10:29:14, 966.03749, 641.038752, 15199.80
1, 10:29:14, 971.59724, 640.927557, 15199.80
1, 10:29:15, 971.59724, 640.927557, 14581.90
1, 10:29:15, 977.37937, 640.927557, 14581.90
1, 10:29:16, 977.37937, 640.927557, 13772.60
1, 10:29:16, 983.16151, 640.927557, 13772.60
1, 10:29:17, 983.16151, 640.927557, 12994.00
1, 10:29:17, 989.05484, 640.927557, 12994.00
1, 10:29:18, 989.05484, 640.927557, 12415.80
1, 10:29:18, 994.83698, 641.038752, 12415.80
1, 10:29:19, 994.83698, 641.038752, 12067.40
1, 10:29:19, 000.61911, 641.038752, 12067.40
1, 10:29:20, 000.61911, 641.038752, 11904.40
1, 10:29:20, 006.17886, 641.038752, 11904.40
1, 10:29:21, 006.17886, 641.038752, 11808.60
1, 10:29:21, 011.73861, 640.927557, 11808.60
1, 10:29:22, 011.73861, 640.927557, 11664.80
1, 10:29:22, 016.85357, 640.927557, 11664.80
1, 10:29:23, 016.85357, 640.927557, 11447.40
1, 10:29:23, 021.52376, 640.927557, 11447.40
1, 10:29:24, 021.52376, 640.927557, 11190.60
1, 10:29:24, 025.41558, 641.038752, 11190.60
1, 10:29:25, 025.41558, 641.038752, 10936.20
1, 10:29:25, 028.64023, 641.038752, 10936.20
1, 10:29:26, 028.64023, 641.038752, 10673.40
1, 10:29:26, 031.08652, 641.038752, 10673.40
1, 10:29:27, 031.08652, 641.038752, 10470.40
1, 10:29:27, 032.75445, 641.038752, 10470.40
1, 10:29:28, 032.75445, 641.038752, 10298.40
1, 10:29:28, 033.75520, 41.0387521, 10298.40
1, 10:29:29, 033.75520, 41.0387521, 10179.00
1, 10:29:29, 034.08879, 641.038752, 10179.00
1, 10:29:30, 034.08879, 641.038752, 10051.40
1, 10:29:30, 034.19998, 640.927557, 10051.40
1, 10:29:31, 034.19998, 640.927557, 9937.00
1, 10:29:31, 034.31118, 640.927557, 9937.00
1, 10:29:32, 034.31118, 640.927557, 9857.60
1, 10:29:32, 034.31118, 640.927557, 9857.60
1, 10:29:33, 034.31118, 640.927557, 9813.40
1, 10:29:33, 034.31118, 640.927557, 9813.40
1, 10:29:34, 034.31118, 640.927557, 9764.00
1, 10:29:34, 034.31118, 640.927557, 9764.00
1, 10:29:35, 034.31118, 640.927557, 9750.80
1, 10:29:35, 034.31118, 640.927557, 9750.80
1, 10:29:36, 034.31118, 640.927557, 9796.40
1, 10:29:36, 034.31118, 640.927557, 9796.40
1, 10:29:37, 034.31118, 640.927557, 9841.60
1, 10:29:37, 034.31118, 640.927557, 9841.60
1, 10:29:38, 034.31118, 640.927557, 9890.40
1, 10:29:38, 034.31118, 640.927557, 9890.40
1, 10:29:39, 034.31118, 640.927557, 9958.80
1, 10:29:39, 034.31118, 640.927557, 9958.80
1, 10:29:40, 034.31118, 640.927557, 10038.00
1, 10:29:40, 034.42237, 641.038752, 10038.00
1, 10:29:41, 034.42237, 641.038752, 10092.40
1, 10:29:41, 034.97834, 641.149947, 10092.40
1, 10:29:42, 034.97834, 641.149947, 10131.00
1, 10:29:42, 036.20149, 641.149947, 10131.00
1, 10:29:43, 036.20149, 641.149947, 10140.60
1, 10:29:43, 038.20300, 1.26114195, 10140.60
1, 10:29:44, 038.20300, 1.26114195, 10126.60
1, 10:29:44, 040.98287, 41.2611419, 10126.60
1, 10:29:45, 040.98287, 41.2611419, 10077.40
1, 10:29:45, 044.42991, 641.261141, 10077.40
1, 10:29:46, 044.42991, 641.261141, 10003.40
1, 10:29:46, 048.43293, 641.261141, 10003.40
1, 10:29:47, 048.43293, 641.261141, 9888.00
1, 10:29:47, 052.76953, 641.372336, 9888.00
1, 10:29:48, 052.76953, 641.372336, 9819.60
1, 10:29:48, 057.21733, 641.483531, 9819.60
1, 10:29:49, 057.21733, 641.483531, 9759.60
1, 10:29:49, 061.77632, 641.483531, 9759.60
1, 10:29:50, 061.77632, 641.483531, 9710.20
1, 10:29:50, 066.55770, 641.483531, 9710.20
1, 10:29:51, 066.55770, 641.483531, 9698.80
1, 10:29:51, 071.33909, 641.483531, 9698.80
1, 10:29:52, 071.33909, 641.483531, 9711.40
1, 10:29:52, 076.12047, 641.483531, 9711.40
1, 10:29:53, 076.12047, 641.483531, 9718.60
1, 10:29:53, 080.34587, 641.594726, 9718.60
1, 10:29:54, 080.34587, 641.594726, 9749.40
1, 10:29:54, 084.12650, 41.5947267, 9749.40
1, 10:29:55, 084.12650, 41.5947267, 9773.20
1, 10:29:55, 087.23996, 641.705921, 9773.20
1, 10:29:56, 087.23996, 641.705921, 9802.60
1, 10:29:56, 089.90864, 641.705921, 9802.60
1, 10:29:57, 089.90864, 641.705921, 9833.40
1, 10:29:57, 092.35493, 41.7059216, 9833.40
1, 10:29:59, 094.57883, 641.705921, 9858.60
1, 10:29:59, 096.69153, 41.7059216, 9858.60
1, 10:30:00, 096.69153, 41.7059216, 9834.20
1, 10:30:00, 098.80423, 641.705921, 9834.20
1, 10:30:01, 098.80423, 641.705921, 9826.40
1, 10:30:01, 101.13933, 641.705921, 9826.40
1, 10:30:02, 101.13933, 641.705921, 9817.80
1, 10:30:02, 103.80800, 641.705921, 9817.80
1, 10:30:03, 103.80800, 641.705921, 9835.40
1, 10:30:03, 107.14385, 641.705921, 9835.40
1, 10:30:04, 107.14385, 641.705921, 9890.20
1, 10:30:04, 111.03567, 641.594726, 9890.20
1, 10:30:05, 111.03567, 641.594726, 9991.20
1, 10:30:05, 115.14989, 641.594726, 9991.20
1, 10:30:06, 115.14989, 641.594726, 10087.40
1, 10:30:06, 119.70888, 641.594726, 10087.40
1, 10:30:07, 119.70888, 641.594726, 10167.80
1, 10:30:07, 124.37907, 641.483531, 10167.80
1, 10:30:08, 124.37907, 641.483531, 10262.40
1, 10:30:08, 129.27164, 641.594726, 10262.40
1, 10:30:09, 129.27164, 641.594726, 10323.60
1, 10:30:09, 134.38661, 641.594726, 10323.60
1, 10:30:10, 134.38661, 641.594726, 10344.40
1, 10:30:10, 139.61277, 641.705921, 10344.40
1, 10:30:11, 139.61277, 641.705921, 10394.60
1, 10:30:11, 144.95013, 641.705921, 10394.60
1, 10:30:12, 144.95013, 641.705921, 10389.20
1, 10:30:12, 150.28748, 641.705921, 10389.20
1, 10:30:13, 150.28748, 641.705921, 10354.40
1, 10:30:13, 155.73604, 641.817116, 10354.40
1, 10:30:14, 155.73604, 641.817116, 10298.60
1, 10:30:14, 161.29578, 641.817116, 10298.60
1, 10:30:15, 161.29578, 641.817116, 10324.60
1, 10:30:15, 166.85553, 641.817116, 10324.60
1, 10:30:16, 166.85553, 641.817116, 10330.00
1, 10:30:16, 172.52647, 641.705921, 10330.00
1, 10:30:17, 172.52647, 641.705921, 10410.60
1, 10:30:17, 177.97502, 641.483531, 10410.60
1, 10:30:18, 177.97502, 641.483531, 10482.40
1, 10:30:18, 183.20118, 641.038752, 10482.40
1, 10:30:19, 183.20118, 641.038752, 10597.90
1, 10:30:19, 187.98256, 640.593972, 10597.90
1, 10:30:20, 187.98256, 640.593972, 10659.00
1, 10:30:20, 192.20797, 640.371582, 10659.00
1, 10:30:21, 192.20797, 640.371582, 10678.30
1, 10:30:21, 195.98860, 640.149192, 10678.30
1, 10:30:22, 195.98860, 640.149192, 10645.60
1, 10:30:22, 199.10206, 639.926802, 10645.60
1, 10:30:23, 199.10206, 639.926802, 10608.50
1, 10:30:23, 201.65954, 639.259633, 10608.50
1, 10:30:24, 201.65954, 639.259633, 10527.20
1, 10:30:24, 203.43866, 638.147684, 10527.20
1, 10:30:25, 203.43866, 638.147684, 10434.80
1, 10:30:25, 204.55061, 636.813344, 10434.80
1, 10:30:26, 204.55061, 636.813344, 10360.60
1, 10:30:26, 205.32897, 635.256615, 10360.60
1, 10:30:27, 205.32897, 635.256615, 10315.20
1, 10:30:27, 205.77375, 633.366302, 10315.20
1, 10:30:28, 205.77375, 633.366302, 10304.00
1, 10:30:28, 206.10734, 631.031208, 10304.00
1, 10:30:29, 206.10734, 631.031208, 10338.80
1, 10:30:29, 206.21853, 628.251335, 10338.80
1, 10:30:30, 206.21853, 628.251335, 10417.60
1, 10:30:30, 206.21853, 624.915487, 10417.60
1, 10:30:31, 206.21853, 624.915487, 10541.00
1, 10:30:31, 206.10734, 621.134860, 10541.00
1, 10:30:32, 206.10734, 621.134860, 10695.10
1, 10:30:32, 206.10734, 616.687063, 10695.10
1, 10:30:33, 206.10734, 616.687063, 10837.20
1, 10:30:33, 205.99614, 611.794486, 10837.20
1, 10:30:34, 205.99614, 611.794486, 10957.50
1, 10:30:34, 205.99614, 606.345934, 10957.50
1, 10:30:35, 205.99614, 606.345934, 11052.80
1, 10:30:35, 205.88495, 600.674993, 11052.80
1, 10:30:36, 205.88495, 600.674993, 11132.10
1, 10:30:36, 205.88495, 594.892857, 11132.10
1, 10:30:37, 205.88495, 594.892857, 11211.10
1, 10:30:37, 205.77375, 88.9995264, 11211.10
1, 10:30:38, 205.77375, 88.9995264, 11277.20
1, 10:30:38, 205.77375, 583.217390, 11277.20
1, 10:30:39, 205.77375, 583.217390, 11317.90
1, 10:30:39, 205.66256, 577.546448, 11317.90
1, 10:30:40, 205.66256, 577.546448, 11351.40
1, 10:30:40, 205.55136, 572.209092, 11351.40
1, 10:30:41, 205.55136, 572.209092, 11346.70
1, 10:30:41, 205.44017, 567.205320, 11346.70
1, 10:30:42, 205.44017, 567.205320, 11286.50
1, 10:30:42, 205.44017, 562.423938, 11286.50
1, 10:30:43, 205.44017, 562.423938, 11227.40
1, 10:30:43, 205.55136, 557.753752, 11227.40
1, 10:30:44, 205.55136, 557.753752, 11193.20
1, 10:30:44, 205.66256, 553.083565, 11193.20
